time,Close,Volume
1624568400.0,1999.88,2655.66126382
1624569300.0,1998.17,3444.7626992
1624570200.0,1992.12,2554.88245173
1624571100.0,1998.83,2572.22376079
1624572000.0,1988.02,3111.36582284
1624572900.0,1983.27,2718.90192403
1624573800.0,1977.41,2544.00633726
1624574700.0,1983.96,2177.91157525
1624575600.0,1985.99,1998.15398694
1624576500.0,1990.91,2030.34969445
1624577400.0,1981.66,1874.03692857
1624578300.0,1988.81,1814.44781193
1624579200.0,2003.41,2896.81567574
1624580100.0,2007.05,2766.52406144
1624581000.0,2000.44,1551.02951809
1624581900.0,1983.27,2626.63499184
1624582800.0,1969.96,3709.8015782
1624583700.0,1968.01,2741.05158392
1624584600.0,1977.11,2085.72083969
1624585500.0,1988.38,2440.42164639
1624586400.0,2013.64,4661.03081574
1624587300.0,2011.12,3449.10865107
1624588200.0,2013.19,2795.34218735
1624589100.0,2006.69,2639.22583728
1624590000.0,1997.79,2981.48461012
1624590900.0,1987.96,2615.28948769
1624591800.0,1990.66,2196.16120993
1624592700.0,1996.31,2635.71059387
1624593600.0,1992.63,2406.06833034
1624594500.0,1981.01,2726.15488029
1624595400.0,1977.04,2313.79447664
1624596300.0,1977.19,1832.95011377
1624597200.0,1974.0,2428.54416111
1624598100.0,1968.35,2024.29527166
1624599000.0,1969.6,1824.02152588
1624599900.0,1963.32,1603.98903475
1624600800.0,1965.01,1198.19228823
1624601700.0,1963.73,1732.17713357
1624602600.0,1965.55,3008.33494329
1624603500.0,1966.12,1802.80036378
1624604400.0,1952.79,2241.43951867
1624605300.0,1933.33,3155.54919743
1624606200.0,1930.44,1910.6009454
1624607100.0,1943.63,1622.66578285
1624608000.0,1925.04,1529.40947474
1624608900.0,1931.42,2416.01560647
1624609800.0,1929.93,954.40711666
1624610700.0,1933.85,805.23892281
1624611600.0,1946.27,740.83374514
1624612500.0,1936.87,1516.53912409
1624613400.0,1916.76,1892.62216922
1624614300.0,1906.39,2580.60409793
1624615200.0,1909.01,1204.76340047
1624616100.0,1891.07,3806.98179484
1624617000.0,1876.63,4783.11947671
1624617900.0,1881.05,5786.01353044
1624618800.0,1864.65,6675.72431636
1624619700.0,1853.11,9114.70857542
1624620600.0,1866.94,8027.02675253
1624621500.0,1849.51,12789.8026137
1624622400.0,1867.19,3911.98700513
1624623300.0,1873.0,3743.13216908
1624624200.0,1858.38,3691.72819484
1624625100.0,1860.07,3951.68783424
1624626000.0,1846.17,4597.42450373
1624626900.0,1846.68,5846.23717304
1624627800.0,1856.73,4539.95353005
1624628700.0,1855.57,4425.71308357
1624629600.0,1872.49,8294.70785351
1624630500.0,1862.39,7653.3059214
1624631400.0,1820.53,11915.40661753
1624632300.0,1824.02,10824.39743478
1624633200.0,1807.46,11669.84311239
1624634100.0,1815.89,5674.20263024
1624635000.0,1835.48,6017.54534087
1624635900.0,1827.46,4909.79287824
1624636800.0,1831.06,5408.61149008
1624637700.0,1799.7,11417.44436324
1624638600.0,1816.55,6883.41745666
1624639500.0,1816.97,4156.26702233
1624640400.0,1827.39,3679.37895889
1624641300.0,1826.47,2827.140925
1624642200.0,1801.14,3991.82129855
1624643100.0,1807.19,3136.26450326
1624644000.0,1826.08,5042.12706245
1624644900.0,1837.41,3097.70797709
1624645800.0,1841.61,2520.89391004
1624646700.0,1838.68,2396.12896293
1624647600.0,1844.42,2362.5682719
1624648500.0,1866.79,5775.46966084
1624649400.0,1855.32,2436.39654992
1624650300.0,1851.66,4366.28135621
1624651200.0,1846.37,2598.50726626
