time,Close,Volume
1624569300.0,32.184,3105.683
1624570200.0,32.094,7805.945
1624571100.0,32.31,4751.357
1624572000.0,32.048,6451.042
1624572900.0,32.004,4749.386
1624573800.0,31.891,5504.766
1624574700.0,31.911,1795.232
1624575600.0,31.742,6153.055
1624576500.0,31.943,6757.595
1624577400.0,31.452,5491.091
1624578300.0,31.187,2733.563
1624579200.0,31.61,12857.499
1624580100.0,31.997,7766.276
1624581000.0,31.862,7435.534
1624581900.0,31.49,11283.533
1624582800.0,31.172,4991.119
1624583700.0,31.337,4157.363
1624584600.0,31.632,3928.354
1624585500.0,31.95,8914.462
1624586400.0,32.633,12358.916
1624587300.0,32.37,5954.102
1624588200.0,32.417,14341.221
1624589100.0,32.273,9376.105
1624590000.0,32.707,10897.995
1624590900.0,32.458,7328.43
1624591800.0,32.533,4533.447
1624592700.0,32.728,5334.803
1624593600.0,32.908,5098.803
1624594500.0,32.192,3611.085
1624595400.0,32.262,6061.645
1624596300.0,32.183,6534.554
1624597200.0,31.877,11046.748
1624598100.0,31.676,2180.643
1624599000.0,31.746,8114.07
1624599900.0,31.719,812.522
1624600800.0,31.979,2098.538
1624601700.0,32.046,1854.976
1624602600.0,31.892,2433.107
1624603500.0,31.93,1038.123
1624604400.0,31.674,1216.496
1624605300.0,31.434,2208.225
1624606200.0,31.083,6736.262
1624607100.0,31.266,2519.658
1624608000.0,30.945,1337.422
1624608900.0,31.031,6441.29
1624609800.0,31.14,2127.467
1624610700.0,31.299,3510.503
1624611600.0,31.608,7904.668
1624612500.0,31.574,2005.944
1624613400.0,31.07,696.923
1624614300.0,30.29,7225.742
1624615200.0,30.758,1948.359
1624616100.0,30.361,5888.766
1624617000.0,30.37,925.986
1624617900.0,30.77,1346.789
1624618800.0,30.417,3517.007
1624619700.0,29.89,15795.877
1624620600.0,30.05,11813.539
1624621500.0,29.567,3921.913
1624622400.0,29.981,6786.134
1624623300.0,30.029,3865.523
1624624200.0,29.567,10040.212
1624625100.0,29.648,11123.889
1624626000.0,29.366,13415.755
1624626900.0,29.633,8628.369
1624627800.0,29.83,3662.597
1624628700.0,29.784,4181.63
1624629600.0,30.729,8842.649
1624630500.0,30.216,13804.874
1624631400.0,29.343,7515.747
1624632300.0,29.442,4372.122
1624633200.0,29.002,27685.803
1624634100.0,29.153,17673.613
1624635000.0,29.811,7223.704
1624635900.0,29.032,5973.681
1624636800.0,29.131,3976.709
1624637700.0,28.283,12154.255
1624638600.0,28.767,12345.076
1624639500.0,28.729,6919.064
1624640400.0,29.127,9229.073
1624641300.0,29.022,17693.752
1624642200.0,28.11,14530.585
1624643100.0,28.302,4433.693
1624644000.0,28.958,10721.027
1624644900.0,29.383,7828.881
1624645800.0,29.346,13442.791
1624646700.0,28.741,7467.346
1624647600.0,29.132,3621.736
1624648500.0,29.684,11975.126
1624649400.0,29.385,4897.656
1624650300.0,29.451,5416.352
1624651200.0,29.155,4669.965
1624652100.0,29.412,1076.861
1624653000.0,29.506,2449.717
1624653900.0,29.552,3105.534
1624654800.0,28.943,2354.542
1624655700.0,29.092,9015.349
1624656600.0,29.26,4723.99
1624657500.0,28.973,15309.816
1624658400.0,29.296,5387.032
1624659300.0,29.34,3000.834
