time,Close,Volume
1624568400.0,134.59,1659.2682208
1624569300.0,134.45,3110.21579457
1624570200.0,134.1,939.43278173
1624571100.0,134.57,845.8646068
1624572000.0,133.8,3347.43799386
1624572900.0,134.02,1345.11086741
1624573800.0,133.83,915.8851312
1624574700.0,134.08,1218.03854542
1624575600.0,134.13,943.44321311
1624576500.0,134.44,1148.83683238
1624577400.0,133.99,1399.54941355
1624578300.0,134.53,691.05191938
1624579200.0,136.72,2672.60255066
1624580100.0,137.08,2732.93893351
1624581000.0,136.68,1307.40157092
1624581900.0,134.58,1822.55867039
1624582800.0,132.95,3144.34553817
1624583700.0,132.83,1737.15686308
1624584600.0,134.11,2696.95758023
1624585500.0,135.32,1902.80527234
1624586400.0,136.91,2755.67196394
1624587300.0,137.29,5793.36060521
1624588200.0,137.82,2589.48691066
1624589100.0,137.41,7021.25999688
1624590000.0,136.78,4228.70698531
1624590900.0,136.2,2148.64045075
1624591800.0,136.21,3604.82554352
1624592700.0,137.38,1958.02953729
1624593600.0,136.52,6170.14841379
1624594500.0,135.39,8125.92877232
1624595400.0,134.48,4248.69474099
1624596300.0,134.33,1047.34445247
1624597200.0,133.84,4609.76600929
1624598100.0,133.6,1741.38352116
1624599000.0,133.8,1313.0341385
1624599900.0,133.72,1660.45972932
1624600800.0,134.34,481.19144558
1624601700.0,133.99,754.90584131
1624602600.0,134.38,1998.31807654
1624603500.0,134.06,557.22878606
1624604400.0,132.71,2935.00209579
1624605300.0,131.44,1512.74421603
1624606200.0,131.28,1513.4759288
1624607100.0,132.0,525.76650838
1624608000.0,131.43,2291.03328393
1624608900.0,131.91,1514.79081566
1624609800.0,131.92,518.1009911
1624610700.0,132.32,872.22516042
1624611600.0,132.6,670.20927086
1624612500.0,132.06,352.4970526
1624613400.0,130.39,1242.7456262
1624614300.0,129.79,1612.7813171
1624615200.0,130.72,1325.07573506
1624616100.0,129.9,745.69177067
1624617000.0,129.54,624.08345746
1624617900.0,130.48,942.04668147
1624618800.0,130.0,621.05163247
1624619700.0,128.69,2587.57391464
1624620600.0,130.81,1741.49922486
1624621500.0,129.57,2168.36742795
1624622400.0,130.71,1376.58211018
1624623300.0,130.77,1244.0966839
1624624200.0,130.11,9328.4758039
1624625100.0,129.98,1328.20725641
1624626000.0,128.9,2080.73664514
1624626900.0,129.37,1822.48883419
1624627800.0,130.44,1920.44588479
1624628700.0,130.37,1595.06257413
1624629600.0,131.91,8801.4334654
1624630500.0,131.23,2924.12344106
1624631400.0,128.33,1678.37463347
1624632300.0,128.66,2734.39512834
1624633200.0,127.23,5655.00831142
1624634100.0,127.49,2325.03441691
1624635000.0,128.62,3377.96351651
1624635900.0,127.97,2050.11076132
1624636800.0,127.89,2777.70266522
1624637700.0,125.58,6552.93589456
1624638600.0,126.1,4916.40959109
1624639500.0,126.64,4389.93737342
1624640400.0,127.85,3027.44063061
1624641300.0,127.45,4374.72334523
1624642200.0,125.51,2773.16602351
1624643100.0,125.99,2729.5960452
1624644000.0,127.73,6547.71023287
1624644900.0,127.73,2452.92505252
1624645800.0,128.09,1711.44242392
1624646700.0,127.89,3755.72643654
1624647600.0,128.17,2054.50706937
