time,Close,Volume
1624568400.0,2257.8403,48.013783
1624569300.0,2257.4685,9.69615
1624570200.0,2248.696,25.424911
1624571100.0,2249.6573,18.270717
1624572000.0,2239.3302,21.05759
1624572900.0,2235.6234,24.575169
1624573800.0,2230.0852,43.564901
1624574700.0,2234.1613,49.531498
1624575600.0,2233.4138,35.980548
1624576500.0,2246.2848,7.76251
1624577400.0,2235.0208,166.041805
1624578300.0,2240.1113,18.126172
1624579200.0,2256.5138,25.508255
1624580100.0,2265.7273,26.052687
1624581000.0,2259.2546,7.898566
1624581900.0,2230.0,39.856717
1624582800.0,2208.9096,28.106179
1624583700.0,2207.0168,45.452648
1624584600.0,2226.0265,18.039313
1624585500.0,2238.8281,65.262583
1624586400.0,2262.6224,27.783378
1624587300.0,2263.8451,24.241997
1624588200.0,2265.4066,24.234
1624589100.0,2255.897,38.563169
1624590000.0,2243.882,8.888712
1624590900.0,2226.5409,18.257419
1624591800.0,2229.0953,10.374868
1624592700.0,2235.2584,6.614699
1624593600.0,2231.1669,20.235728
1624594500.0,2233.9594,13.694038
1624595400.0,2229.5845,29.58249
1624596300.0,2232.0315,13.516396
1624597200.0,2226.8485,19.548947
1624598100.0,2217.5047,28.489605
1624599000.0,2214.1346,8.069087
1624599900.0,2202.5783,5.401958
1624600800.0,2205.9897,9.180806
1624601700.0,2206.1316,6.196042
1624602600.0,2209.5626,12.098336
1624603500.0,2203.8304,2.759811
1624604400.0,2187.3483,17.695519
1624605300.0,2168.5941,7.045202
1624606200.0,2160.0185,7.380432
1624607100.0,2179.2941,9.714212
1624608000.0,2154.6052,10.735968
1624608900.0,2161.5058,11.477822
1624609800.0,2163.559,4.787914
1624610700.0,2173.6055,10.989803
1624611600.0,2188.909,20.74995
1624612500.0,2174.8457,10.058301
1624613400.0,2136.4356,17.434839
1624614300.0,2120.8763,9.661075
1624615200.0,2137.8124,15.878472
1624616100.0,2118.6841,17.207427
1624617000.0,2110.5109,26.978326
1624617900.0,2118.029,21.816468
1624618800.0,2094.2844,16.658111
